candidato,mes,porcentaje,min,max
obrador,noviembre,32,33.1,39.4
obrador,diciembre,37,32.6,42.1
obrador,enero,31,33.3,38.8
obrador,febrero,39,34.9,40.8
obrador,marzo,46,39.2,45.9
obrador,abril,47,40.4,45.0
obrador,mayo,41,42.5,47.8
