foto,nombre,apellido,noviembre,diciembre,enero,febrero,marzo,abril,mayo,junio
obrador,Andrés Manuel,López Obrador,36.2,37.4,36.1,37.9,42.6,42.7,45.1
anaya,Ricardo,Anaya,24.6,24.9,27.5,29.3,28.5,28.8,30.5
meade,José Antonio,Meade,23.6,23.7,25.3,23.3,22.8,21.0,18.1
zavala,Margarita,Zavala,11.7,10.0,6.2,5.5,6.0,4.9,4.0
calderon,Jaime,Rodríguez Calderón,3.9,4.0,3.1,2.8,2.9,2.6,2.3
